hotel_name,hotel_id,hotel_picture
Khách sạn Renaissance Riverside Sài Gòn (Renaissance Riverside Hotel Saigon),9195,https://pix8.agoda.net/hotelImages/9195/-1/8472b509597c7759333f9564292b3483.jpg?ca=12&ce=1&s=1024x768
Khách Sạn TTC Đà Lạt (TTC Hotel Dalat),9698,https://pix8.agoda.net/hotelImages/9698/-1/4522dcbb4ccfa08f92949d0649f428bd.jpg?ca=10&ce=1&s=1024x768
Khách sạn Pullman Hà Nội (Pullman Hanoi Hotel),10961,https://pix8.agoda.net/hotelImages/10961/13843955/164ef78128b8fbdb6d7b6e40733f9605.jpg?ce=2&s=1024x768
Hilton Hanoi Opera (Hanoi Opera),10962,https://pix8.agoda.net/hotelImages/10962/-1/451390aa274bea5524ef906206e8bdb5.jpg?s=1024x768
Khách sạn Sofitel Legend Metropole Hà Nội (Sofitel Legend Metropole Hanoi Hotel),10964,https://pix8.agoda.net/hotelImages/10964/0/00ed8088388b3b1c67acb23f8a43846e.jpg?ce=3&s=1024x768
Khách sạn Sofitel Saigon Plaza (Sofitel Saigon Plaza Hotel),10976,https://pix8.agoda.net/hotelImages/10976/-1/3f17d08d9677d482aa180c06b096e1bf.jpg?ce=0&s=1024x768
Khách Sạn Liberty Sài Gòn Parkview (Liberty Hotel Saigon Parkview),10987,https://pix8.agoda.net/hotelImages/10987/0/922b9e6051c89e3e53cbeb267b9cbf1c.jpeg?s=1024x768
Huong Giang Hotel Resort & Spa,11002,https://pix8.agoda.net/hotelImages/11002/0/0409b192782b27f559374b380a852cc6.jpeg?ce=3&s=1024x768
Sài Gòn Phú Quốc Resort (Saigon Phu Quoc Resort and Spa),11013,https://pix8.agoda.net/hotelImages/11013/0/4fde8153273b6b512ffa8f7d90a45f0a.jpeg?ce=2&s=1024x768
Khách sạn Sheraton Sài Gòn Grand Opera (Sheraton Saigon Grand Opera Hotel),12132,https://pix8.agoda.net/hotelImages/12132/0/3ae4b7619f3d71afe089432835b5d4d7.jpg?ce=0&s=1024x768
TTC Khách Sạn Cần Thơ (TTC Hotel Can Tho),43384,https://pix8.agoda.net/hotelImages/43384/0/58c0ad3b3f8b2f29ab7cf4463e400521.jpeg?ce=2&s=1024x768
