Amenity,Count
WiFi miễn phí,505
Tiếng Anh,474
Bảo vệ 24 giờ,462
Bàn tiếp tân 24 giờ,461
Dịch vụ giặt là,451
Phòng không hút thuốc,442
Giữ hành lý,431
Thang máy,419
Thích hợp cho gia đình trẻ em,409
CCTV trong khu vực chung,393
Phòng gia đình,392
Điều hòa,391
Đỗ xe miễn phí,383
Dịch vụ ủi đồ,365
Điều hòa ở khu vực chung,358
Khu vực hút thuốc,355
Hoàn toàn không hút thuốc,345
Nhà hàng,343
Đưa đón sân bay,329
CCTV bên ngoài chỗ nghỉ,327
Nhận/trả phòng 24 giờ,312
Giặt khô,311
Nhận trả phòng nhanh,303
Quán cà phê,297
Dịch vụ đưa đón,285
Cơ sở vật chất cho họp mặt tiệc lớn,282
Đỗ xe tại chỗ,281
Bữa sáng tự chọn,272
Dịch vụ taxi,271
Nhân viên trực cửa,258
Đổi ngoại tệ,257
Phòng tập,256
Phù hợp cho xe lăn,255
Phòng cách âm,252
Bể bơi ngoài trời,236
Dịch vụ văn phòng fax photocopy,234
Vườn,229
Phòng chờ chung khu vực tv,229
Ô tô cho thuê,227
Truyền hình cáp vệ tinh,225
Dịch vụ phòng,215
Dịch vụ vé,208
Đỗ xe có nhân viên,207
Tiện nghi cho khách khuyết tật,206
Bữa ăn cho trẻ,205
Mát-xa,203
Spa xông khô,200
Bác sĩ y tá trực,199
Dịch vụ phòng 24 giờ,198
Bếp,196
Quán bar,196
Quầy đồ ăn vặt,188
Đỗ xe gần bên,181
Tủ lạnh,177
Bể bơi trẻ em,171
Quán bar cạnh bể bơi,170
Dịch vụ làm đẹp,160
Giải trí,158
Phòng họp,157
Bữa sáng trong phòng,154
Bể bơi có tầm nhìn,153
Phòng xông ướt,147
Phòng không gây dị ứng,147
Sân chơi,145
Cửa hàng tạp hóa,144
Cách âm,144
Spa,143
Tiệm làm đẹp,141
Bữa sáng kiểu lục địa,137
CLB trẻ em,123
Tiện nghi nấu nướng ngoài trời,123
Bữa sáng miễn phí,120
Nhà hàng ẩm thực châu á,120
Cửa hàng quà tặng quà lưu niệm,119
Tiện nghi làm việc,116
Bồn tắm nước nóng,115
