Room Amenity,Count
Giải trí,3500
Điều hòa,3408
WiFi miễn phí,2892
TV màn hình phẳng,2755
Bếp,2578
Truyền hình cáp vệ tinh,2545
Tủ lạnh,2085
Cách âm,1781
Ban công sân hiên,1719
Phòng tắm đứng,1271
Điều hòa cá nhân,1251
Giường cũi của em bé theo yêu cầu,1120
Thang máy,1107
Máy pha trà cà phê,1064
Ít gây dị ứng,785
Lối đi riêng,731
Khu vực ăn uống riêng,640
Giường gấp,583
Máy rửa bát,583
Tầng cao,577
Đi lên bằng cầu thang,574
Có các phòng thông nhau,552
Lối vào hồ bơi,546
Tiện nghi bể bơi,542
Sưởi,512
Dịch vụ phát trực tuyến như netflix,504
Nhà vệ sinh phụ,501
Không gian làm việc cho máy tính xách tay,494
Giường cực dài,481
Sử sụng clb thể thao,471
Phòng thay đồ,443
Cửa sổ có thể mở ra,438
Máy sấy quần áo,434
Đèn đọc sách,417
Cửa an toàn cho em bé,382
Đồ gỗ ngoài trời,380
Phòng khách riêng,365
Lò vi sóng,334
Báo động trực quan,325
Bể bơi,323
Phòng tắm có băng ghế tắm,319
Máy giặt,299
Phòng tắm có lối đi thoai thoải,299
Bàn trang điểm phù hợp cho người khuyết tật,288
Bồn tắm tạo sóng,277
Phim theo yêu cầu,275
Được vào phòng chờ thương gia,269
Lò sưởi,257
Tiện nghi cho em bé theo yêu cầu,250
Phòng tắm phụ,239
Máy lọc không khí,229
Đồ dùng làm bếp,227
Căn hộ riêng trong tòa nhà,206
Thanh vịn chống trượt,203
Ghế cao cho trẻ con ngồi ăn,199
Nhà vệ sinh cho người khuyết tật,190
WiFi tính phí,184
Tầng thượng,176
Tay nắm đòn bẩy trên cửa,171
Báo động âm thanh,166
Đồ uống mời khách miễn phí,161
Phòng tắm dành cho người khuyết tật,155
Miễn phí sử dụng khu vực dịch vụ hành chánh,155
Trạm nối ipod,141
Bảng chỉ dẫn chữ nổi và sờ được,134
Bãi biển riêng,131
TV có phụ đề,131
Nhà tắm chung,118
Báo hằng ngày,116
Thiết bị chơi điện tử,109
Thiết bị phát dữ liệu di động,102
Phòng và hoặc bộ dụng cụ phù hợp cho người khiếm thính,92
Được phép đưa thú nuôi vào,90
Thiết bị bảo vệ ban đêm hạ thấp trên cửa,84
Tầng hạn chế,81
Tương thích với tty ttd,70
Xông khô,67
Cho phép hút thuốc,64
Trò chơi board game xếp hình,39
Quyền sử dụng spa miễn phí,38
Thiết bị điện thoại thông minh,37
Máy tính,33
Bồn tắm lộ thiên,31
Máy tính bảng trong phòng,28
TV trong phòng tắm,24
Tắm suối nước nóng,12
Bộ hoạt động,10
